92047,af8c91f1-e952-53d1-b39d-6985868e4b55,http://www.linkedin.com/company/dcs-technologies-corp,https://facebook.com/pages/DCS-Technologies/216781388346711,"",https://dcs-tech.com,DCS,'+1 937-743-4060,"",0,"",Franklin,Ohio,United States
92048,e351e42e-5ed9-5e22-b026-90367dda93cf,http://www.linkedin.com/company/customer-1st-communications,https://facebook.com/Customer1stCommunications,https://twitter.com/Customer1stComm,https://c1c.net,Customer 1st Communications,'+1 770-447-5000,"",0,"",Norcross,Georgia,United States
92049,b5d70edd-f6ce-5570-aed7-d6d47f4beca4,http://www.linkedin.com/company/genioo,"","",https://genioo.com,Genioo,'+41 41 410 72 72,"",0,"",Zug,Canton of Zug,Switzerland
92050,398cce44-233d-5f7c-aea1-e4a6a79df10c,http://www.linkedin.com/company/threater,https://facebook.com/bandurasystems/,https://twitter.com/bandurasystems,https://banduracyber.com,Bandura,'+1 855-765-4925,Other,5000000,2022-03-01T00:00:00+00:00,McLean,Virginia,United States
92051,bb8f1475-9897-5560-976e-e623b32b72ff,http://www.linkedin.com/company/nfg-consulting-inc,"","",https://nfg-inc.com,NFG Consulting,'+1 850-890-0511,"",0,"",Lynn Haven,Florida,United States
92052,7b76819b-5b62-569d-8c8c-e409940003e9,http://www.linkedin.com/company/polaron-analytics,"","",https://polaronanalytics.com,Polaron Analytics,"","",0,"",Miamisburg,Ohio,United States
92053,2a057b7d-23d2-54ca-93fd-eb83137d4569,http://www.linkedin.com/company/systems-analysis-serv-inc.,https://facebook.com/systemsanalysisservices,"",https://sysgbs.com,Systems Analysis Services,'+1 617-965-4615,"",0,"",Newton,Massachusetts,United States
92054,f79ebb10-dcea-57a6-bb3c-9974b4c1965a,http://www.linkedin.com/company/invisus,https://www.facebook.com/INVISUSCorp/,https://twitter.com/invisuscorp,https://invisus.com,INVISUS,'+1 801-724-6211,"",0,"",American Fork,Utah,United States
92055,4a225530-e50d-5f7b-b99a-39ee66ddfa48,http://www.linkedin.com/company/the-new-england-computer-group,https://www.facebook.com/necgct,https://twitter.com/NECG_fballatore,https://necgnet.com,The New England Computer Group,'+1 203-431-9300,"",0,"",Ridgefield,Connecticut,United States
92056,93cfbf53-ff4e-5501-8a76-3e6c6c94d25b,http://www.linkedin.com/company/greenlink-partners,"","",https://greenlinkpartners.com,Green Link,"","",0,"",Dallas,Texas,United States
92057,47cfca63-05be-5af4-9ef3-d7c16fb80870,http://www.linkedin.com/company/omadatechnologies,https://facebook.com/OmadaTechnologies,https://twitter.com/omadatechllc,https://omadatechnologies.com,Omada,'+1 603-610-8282,"",0,"",Portsmouth,New Hampshire,United States
92058,91ee7cbc-9a5d-575f-ad77-6b996bd80e65,http://www.linkedin.com/company/granite-source-power,"","",https://granitesourcepower.energy,Granite Source Power,"",Other,40000000,2023-06-01T00:00:00+00:00,Boston,Massachusetts,United States
92059,7112e14a-e3b0-597c-91b0-d336336cae8f,http://www.linkedin.com/company/determinate-systems,"",https://twitter.com/DeterminateSys,https://determinate.systems,Determinate,'+1 641-649-4357,Other,3500000,2022-05-01T00:00:00+00:00,Pittsfield,Massachusetts,United States
92060,5fa50874-943a-54f6-b2e3-e381fd5ae56e,http://www.linkedin.com/company/quantum-network-technologies,"","",https://qunett.com,Quantum Network,"","",0,"",Boston,Massachusetts,United States
92061,73c5b239-4a31-5bbb-8186-273e29f9704c,http://www.linkedin.com/company/purple-sec,"",https://twitter.com/Purple_Sec,https://purplesec.us,PurpleSec,'+1 202-556-3903,"",0,"",Washington,District of Columbia,United States
92062,f97024f6-b410-5d43-8740-af422dd47520,http://www.linkedin.com/company/qumulex,https://facebook.com/qumulex/,https://twitter.com/qumulex,https://qumulex.com,Qumulex,'+1 317-207-0520,Seed,2775000,2019-11-05T00:00:00+00:00,Fishers,Indiana,United States
92063,a8be3b5b-44e6-5c26-8d32-7b400ad4fca5,http://www.linkedin.com/company/findarbor,"","",https://findarbor.com,Arbor,"","",0,"",New York,New York,United States
92064,465b1870-9149-528c-9676-e39087629af2,http://www.linkedin.com/company/defectdojo,"",https://twitter.com/defectdojo,https://defectdojo.com,DefectDojo,"","",0,"",Austin,Texas,United States
